x_coord,y_coord,z_coord,grid_name,ghp_tree
-57.32207,-52.0977,0.1,{6},grid06_short_grass
-57.32207,-50.09394,0.1,{6},grid06_short_grass
-57.32207,-48.09018,0.1,{6},grid06_short_grass
-57.32207,-46.08642,0.1,{6},grid06_short_grass
-57.32207,-44.08267,0.1,{6},grid06_short_grass
-57.32207,-42.07891,0.1,{6},grid06_short_grass
-55.31077,-54.10145,0.1,{6},grid06_short_grass
-55.31077,-52.0977,0.1,{6},grid06_short_grass
-55.31077,-50.09394,0.1,{6},grid06_short_grass
-55.31077,-48.09018,0.1,{6},grid06_short_grass
-55.31077,-46.08642,0.1,{6},grid06_short_grass
-55.31077,-44.08267,0.1,{6},grid06_short_grass
-55.31077,-42.07891,0.1,{6},grid06_short_grass
-55.31077,-40.07515,0.1,{6},grid06_short_grass
-53.29947,-54.10145,0.1,{6},grid06_short_grass
-53.29947,-52.0977,0.1,{6},grid06_short_grass
-53.29947,-50.09394,0.1,{6},grid06_short_grass
-53.29947,-48.09018,0.1,{6},grid06_short_grass
-53.29947,-46.08642,0.1,{6},grid06_short_grass
-53.29947,-44.08267,0.1,{6},grid06_short_grass
-53.29947,-42.07891,0.1,{6},grid06_short_grass
-53.29947,-40.07515,0.1,{6},grid06_short_grass
-51.28817,-48.09018,0.1,{6},grid06_short_grass
-51.28817,-46.08642,0.1,{6},grid06_short_grass
-51.28817,-44.08267,0.1,{6},grid06_short_grass
-51.28817,-42.07891,0.1,{6},grid06_short_grass
-51.28817,-40.07515,0.1,{6},grid06_short_grass
-51.28817,-38.07139,0.1,{6},grid06_short_grass
-49.27687,-48.09018,0.1,{6},grid06_short_grass
-49.27687,-46.08642,0.1,{6},grid06_short_grass
-49.27687,-44.08267,0.1,{6},grid06_short_grass
-49.27687,-42.07891,0.1,{6},grid06_short_grass
-49.27687,-40.07515,0.1,{6},grid06_short_grass
-49.27687,-38.07139,0.1,{6},grid06_short_grass
45.25427,44.08267,0.1,{10},grid10_short_grass
45.25427,48.09018,0.1,{10},grid10_short_grass
45.25427,50.09394,0.1,{10},grid10_short_grass
47.26557,42.07891,0.1,{10},grid10_short_grass
47.26557,44.08267,0.1,{10},grid10_short_grass
47.26557,48.09018,0.1,{10},grid10_short_grass
47.26557,50.09394,0.1,{10},grid10_short_grass
47.26557,52.0977,0.1,{10},grid10_short_grass
49.27687,40.07515,0.1,{10},grid10_short_grass
49.27687,42.07891,0.1,{10},grid10_short_grass
49.27687,44.08267,0.1,{10},grid10_short_grass
49.27687,46.08642,0.1,{10},grid10_short_grass
49.27687,48.09018,0.1,{10},grid10_short_grass
49.27687,50.09394,0.1,{10},grid10_short_grass
49.27687,52.0977,0.1,{10},grid10_short_grass
49.27687,54.10145,0.1,{10},grid10_short_grass
51.28817,38.07139,0.1,{10},grid10_short_grass
51.28817,40.07515,0.1,{10},grid10_short_grass
51.28817,42.07891,0.1,{10},grid10_short_grass
51.28817,44.08267,0.1,{10},grid10_short_grass
51.28817,46.08642,0.1,{10},grid10_short_grass
51.28817,48.09018,0.1,{10},grid10_short_grass
51.28817,50.09394,0.1,{10},grid10_short_grass
51.28817,52.0977,0.1,{10},grid10_short_grass
51.28817,54.10145,0.1,{10},grid10_short_grass
51.28817,56.10521,0.1,{10},grid10_short_grass
53.29947,34.06388,0.1,{10},grid10_short_grass
53.29947,36.06764,0.1,{10},grid10_short_grass
53.29947,38.07139,0.1,{10},grid10_short_grass
53.29947,40.07515,0.1,{10},grid10_short_grass
53.29947,42.07891,0.1,{10},grid10_short_grass
53.29947,44.08267,0.1,{10},grid10_short_grass
53.29947,46.08642,0.1,{10},grid10_short_grass
53.29947,48.09018,0.1,{10},grid10_short_grass
53.29947,50.09394,0.1,{10},grid10_short_grass
53.29947,52.0977,0.1,{10},grid10_short_grass
53.29947,54.10145,0.1,{10},grid10_short_grass
53.29947,56.10521,0.1,{10},grid10_short_grass
53.29947,58.10897,0.1,{10},grid10_short_grass
55.31077,30.05636,0.1,{10},grid10_short_grass
55.31077,32.06012,0.1,{10},grid10_short_grass
55.31077,34.06388,0.1,{10},grid10_short_grass
55.31077,36.06764,0.1,{10},grid10_short_grass
55.31077,38.07139,0.1,{10},grid10_short_grass
55.31077,40.07515,0.1,{10},grid10_short_grass
55.31077,42.07891,0.1,{10},grid10_short_grass
55.31077,44.08267,0.1,{10},grid10_short_grass
55.31077,46.08642,0.1,{10},grid10_short_grass
55.31077,48.09018,0.1,{10},grid10_short_grass
55.31077,50.09394,0.1,{10},grid10_short_grass
55.31077,52.0977,0.1,{10},grid10_short_grass
55.31077,54.10145,0.1,{10},grid10_short_grass
55.31077,56.10521,0.1,{10},grid10_short_grass
55.31077,58.10897,0.1,{10},grid10_short_grass
57.32207,30.05636,0.1,{10},grid10_short_grass
57.32207,32.06012,0.1,{10},grid10_short_grass
57.32207,34.06388,0.1,{10},grid10_short_grass
57.32207,36.06764,0.1,{10},grid10_short_grass
57.32207,38.07139,0.1,{10},grid10_short_grass
57.32207,40.07515,0.1,{10},grid10_short_grass
57.32207,42.07891,0.1,{10},grid10_short_grass
57.32207,44.08267,0.1,{10},grid10_short_grass
57.32207,46.08642,0.1,{10},grid10_short_grass
57.32207,48.09018,0.1,{10},grid10_short_grass
57.32207,50.09394,0.1,{10},grid10_short_grass
57.32207,52.0977,0.1,{10},grid10_short_grass
57.32207,54.10145,0.1,{10},grid10_short_grass
57.32207,56.10521,0.1,{10},grid10_short_grass
57.32207,58.10897,0.1,{10},grid10_short_grass
57.32207,60.11273,0.1,{10},grid10_short_grass
59.33337,32.06012,0.1,{10},grid10_short_grass
59.33337,34.06388,0.1,{10},grid10_short_grass
59.33337,36.06764,0.1,{10},grid10_short_grass
59.33337,38.07139,0.1,{10},grid10_short_grass
59.33337,40.07515,0.1,{10},grid10_short_grass
59.33337,42.07891,0.1,{10},grid10_short_grass
59.33337,44.08267,0.1,{10},grid10_short_grass
59.33337,46.08642,0.1,{10},grid10_short_grass
59.33337,48.09018,0.1,{10},grid10_short_grass
59.33337,50.09394,0.1,{10},grid10_short_grass
59.33337,52.0977,0.1,{10},grid10_short_grass
59.33337,54.10145,0.1,{10},grid10_short_grass
59.33337,56.10521,0.1,{10},grid10_short_grass
59.33337,58.10897,0.1,{10},grid10_short_grass
59.33337,60.11273,0.1,{10},grid10_short_grass
61.34467,34.06388,0.1,{10},grid10_short_grass
61.34467,36.06764,0.1,{10},grid10_short_grass
61.34467,38.07139,0.1,{10},grid10_short_grass
61.34467,40.07515,0.1,{10},grid10_short_grass
61.34467,42.07891,0.1,{10},grid10_short_grass
61.34467,44.08267,0.1,{10},grid10_short_grass
61.34467,46.08642,0.1,{10},grid10_short_grass
61.34467,48.09018,0.1,{10},grid10_short_grass
61.34467,50.09394,0.1,{10},grid10_short_grass
61.34467,52.0977,0.1,{10},grid10_short_grass
61.34467,54.10145,0.1,{10},grid10_short_grass
61.34467,56.10521,0.1,{10},grid10_short_grass
61.34467,58.10897,0.1,{10},grid10_short_grass
61.34467,60.11273,0.1,{10},grid10_short_grass
63.35597,36.06764,0.1,{10},grid10_short_grass
63.35597,38.07139,0.1,{10},grid10_short_grass
63.35597,40.07515,0.1,{10},grid10_short_grass
63.35597,42.07891,0.1,{10},grid10_short_grass
63.35597,44.08267,0.1,{10},grid10_short_grass
63.35597,46.08642,0.1,{10},grid10_short_grass
63.35597,48.09018,0.1,{10},grid10_short_grass
63.35597,50.09394,0.1,{10},grid10_short_grass
63.35597,52.0977,0.1,{10},grid10_short_grass
63.35597,54.10145,0.1,{10},grid10_short_grass
63.35597,56.10521,0.1,{10},grid10_short_grass
65.36728,36.06764,0.1,{10},grid10_short_grass
65.36728,38.07139,0.1,{10},grid10_short_grass
65.36728,40.07515,0.1,{10},grid10_short_grass
65.36728,42.07891,0.1,{10},grid10_short_grass
65.36728,44.08267,0.1,{10},grid10_short_grass
67.37857,38.07139,0.1,{10},grid10_short_grass
27.15256,34.06388,0.1,{11},grid11_short_grass
-1.00565,4.00751,0.1,{12},grid12_short_grass
1.00565,0.0,0.1,{12},grid12_short_grass
1.00565,2.00376,0.1,{12},grid12_short_grass
1.00565,4.00751,0.1,{12},grid12_short_grass
3.01695,-2.00376,0.1,{12},grid12_short_grass
3.01695,0.0,0.1,{12},grid12_short_grass
3.01695,2.00376,0.1,{12},grid12_short_grass
3.01695,4.00751,0.1,{12},grid12_short_grass
3.01695,6.01127,0.1,{12},grid12_short_grass
5.02825,0.0,0.1,{12},grid12_short_grass
5.02825,2.00376,0.1,{12},grid12_short_grass
5.02825,4.00751,0.1,{12},grid12_short_grass
7.03955,-4.00751,0.1,{12},grid12_short_grass
7.03955,-2.00376,0.1,{12},grid12_short_grass
7.03955,0.0,0.1,{12},grid12_short_grass
7.03955,2.00376,0.1,{12},grid12_short_grass
7.03955,4.00751,0.1,{12},grid12_short_grass
7.03955,6.01127,0.1,{12},grid12_short_grass
7.03955,8.01503,0.1,{12},grid12_short_grass
9.05085,-6.01127,0.1,{12},grid12_short_grass
9.05085,-4.00751,0.1,{12},grid12_short_grass
9.05085,-2.00376,0.1,{12},grid12_short_grass
9.05085,0.0,0.1,{12},grid12_short_grass
9.05085,2.00376,0.1,{12},grid12_short_grass
9.05085,4.00751,0.1,{12},grid12_short_grass
9.05085,6.01127,0.1,{12},grid12_short_grass
9.05085,8.01503,0.1,{12},grid12_short_grass
11.06215,-6.01127,0.1,{12},grid12_short_grass
11.06215,-4.00751,0.1,{12},grid12_short_grass
11.06215,-2.00376,0.1,{12},grid12_short_grass
11.06215,0.0,0.1,{12},grid12_short_grass
11.06215,2.00376,0.1,{12},grid12_short_grass
11.06215,4.00751,0.1,{12},grid12_short_grass
11.06215,6.01127,0.1,{12},grid12_short_grass
11.06215,8.01503,0.1,{12},grid12_short_grass
11.06215,10.01879,0.1,{12},grid12_short_grass
